concept,definition
Skills (agent skills),"Reusable instruction files (skill.md) holding a name, description, and detailed steps for a specific workflow. The agent loads only the name and description until it decides the skill is needed, then reads the full content."
Progressive disclosure,"A design pattern where only a skill's name and description are kept in context; the full body is loaded only when the agent determines it needs that skill, saving tokens."
Context window,"The bounded amount of information (system prompt, instructions, tools, codebase, conversation) a model can attend to at once, measured in tokens; performance degrades as it fills up."
Context (in agents),"The assembled information a model needs to execute an action — system prompt, instruction files, skills, tools, codebase, and conversation history."
AGENTS.md / CLAUDE.md,"Project-level instruction files injected into context on every turn. Useful only for proprietary or always-relevant guidance; otherwise they waste tokens that a skill could carry on demand."
System prompt,"The provider-supplied base instructions that guide how a model behaves — what to do and what not to do — present in every request."
Agent harness,"The software scaffolding around a model that manages context assembly, exposes tools, and lets the model call them; the model itself does not call tools directly."
Recursively building skills,"An iterative method: build a skill, run it, capture each failure, ask the agent for the error, fix it, then have the agent update the skill so the failure never recurs."
Building skills from successful runs,"Rather than writing a skill upfront, walk the agent through the workflow step-by-step until a successful run exists, then have it codify that run into a skill so it has real context."
Tokens,"The units of text models process and bill on; instruction files cost tokens on every turn, while progressively disclosed skills cost only their name and description until used."
Context rot / degradation,"The tendency of a model to produce worse output as its context window fills (e.g. past ~70-80%); keeping context lean improves both cost and performance."
LLMs as token predictors,"Large language models don't reason or understand; they map input to a vector space and predict the most probable next tokens, which only appears like thinking."
Sub-agents,"Specialized agents managed by a main agent, each with its own skills and context for a domain (marketing, business, personal). Valuable only after core workflows exist."
Scaling for productivity vs for cool,"The principle of starting with one capable agent and adding skills/sub-agents only when a real workflow justifies it, rather than spinning up many agents and skills upfront."
Vibe coding,"Building software primarily by prompting AI agents to write the code, rather than hand-writing it — increasingly viable because models are strong at code generation."
Code as context,"The idea that an existing codebase or template itself supplies the agent the conventions and stack info it needs, removing the need to restate them in instruction files."
Templates renaissance,"The prediction that well-built starter templates regain value because a solid foundation becomes immediate, high-quality context for an agent to build upon."
Compaction,"When a conversation approaches the context limit, tools like Claude Code or Codex summarize/compress earlier context to free space."
Skills marketplace risk,"Downloadable third-party skills are both an attack vector (malicious instructions) and often low-quality, since they lack the context of a successful run for your workflow."
OpenClaude,"An open agent setup the speaker runs with its own email and scheduled checks (e.g. every 15 minutes) to triage sponsor emails and run multi-source report workflows."
Permanent underclass,"A speculative term for workers displaced once AGI arrives who lack AI/agent skills; the speakers push back on the 'permanent' framing as overstated."
TypeScript code generation,"Model providers have optimized agents to be especially strong at writing TypeScript, underpinning code-writing agent products."
